RECEIVER_DOCUMENT_TYPE,RECEIVER_IDENTIFICATION_NUMBER,RECEIVER_NAME,RECEIVER_BANK,RECEIVER_ACCOUNT_TYPE,RECEIVER_ACCOUNT_NUMBER,DEBIT_AMOUNT,REFERENCE
4,000000000024419,"Ana Martinez",1063,1,00000000000016419,669410.71,"I82M3Z6856"
4,000000000013116,"Juan Perez",1062,2,00000000000023349,514969.88,"0G6EGO4325"
3,000000000013769,"Pedro Herrera",1060,1,00000000000032673,749289.80,"WABNYG9304"
3,000000000031343,"Juan Perez",1059,1,00000000000028355,515943.75,"4UOA3V1273"
4,000000000023790,"Sofia Morales",1059,1,00000000000004238,989606.90,"WASZZF1676"
4,000000000005583,"Juan Perez",1061,1,00000000000003555,330948.65,"IXWJY54914"
3,000000000010016,"Carlos Gonzalez",1058,1,00000000000008131,784971.80,"GKCQ5Q9570"
1,000000000025721,"Gabriela Ortiz",1058,2,00000000000020100,660699.66,"EPCAVF6604"
2,000000000015424,"Luis Ramirez",1062,2,00000000000003576,361815.67,"GCO4XH2493"
4,000000000013314,"Gabriela Ortiz",1060,1,00000000000018747,862531.45,"8JGPQY8364"
3,000000000014359,"Juan Perez",1062,1,00000000000013298,841568.56,"A0Z5C25435"
1,000000000000679,"Sofia Morales",1063,1,00000000000027006,82142.14,"K4KZWJ8442"
5,000000000023323,"Gabriela Ortiz",1061,1,00000000000029625,381038.77,"D1CEB73549"
1,000000000007684,"Sofia Morales",1063,1,00000000000021695,811423.27,"EDPWY38004"
4,000000000018192,"Pedro Herrera",1063,2,00000000000017335,308200.72,"OTDLJ59494"
2,000000000027852,"Ana Martinez",1061,1,00000000000030428,873651.47,"A7I5052198"
2,000000000030897,"Sofia Morales",1058,1,00000000000016027,488229.92,"C4MM572984"
1,000000000009462,"Pedro Herrera",1062,2,00000000000010707,758802.60,"UICAY00291"
1,000000000020010,"Pedro Herrera",1062,2,00000000000004417,678167.26,"KMWBTC7950"
2,000000000023165,"Pedro Herrera",1059,1,00000000000030877,444837.06,"KSQY8Q2051"
2,000000000013803,"Gabriela Ortiz",1058,1,00000000000000036,952016.95,"BFYEC72621"
5,000000000002713,"Sofia Morales",1061,1,00000000000027770,373858.64,"D9JHHD1308"
5,000000000017409,"Gabriela Ortiz",1061,2,00000000000032367,635193.87,"S8CUU50972"
1,000000000015696,"Gabriela Ortiz",1059,2,00000000000020213,129216.32,"8K7WWF8168"
4,000000000019760,"Juan Perez",1062,2,00000000000020060,968245.49,"LWF8TP2409"
5,000000000001287,"Carlos Gonzalez",1061,2,00000000000018629,819869.05,"INHWOE6111"
3,000000000024491,"Ana Martinez",1061,1,00000000000031222,887855.64,"0WD0R28329"
1,000000000028243,"Carlos Gonzalez",1061,1,00000000000013822,128219.69,"6N87H27597"
5,000000000021134,"Sofia Morales",1060,2,00000000000025015,696159.06,"953UQW3114"
2,000000000004107,"Ana Martinez",1062,1,00000000000016493,92915.01,"69ZIA79846"
1,000000000023006,"Carlos Gonzalez",1058,1,00000000000004076,86414.59,"VGF4U15844"
4,000000000011069,"Maria Lopez",1063,1,00000000000032178,763684.62,"63YJGM5527"
5,000000000023768,"Carlos Gonzalez",1063,1,00000000000018719,454983.57,"RPHX1W1726"
5,000000000030451,"Juan Perez",1059,1,00000000000011985,751046.06,"9QTIZ04726"
3,000000000021338,"Carlos Gonzalez",1063,1,00000000000019940,1036.19,"QNM4LB5548"
5,000000000000359,"Pedro Herrera",1063,2,00000000000025998,530813.25,"HX3HTN8218"
1,000000000027412,"Juan Perez",1058,2,00000000000003151,95206.58,"SSP4S56391"
4,000000000018118,"Pedro Herrera",1059,1,00000000000007107,419632.89,"ZA6BUA4642"
1,000000000007287,"Maria Lopez",1058,1,00000000000005967,939086.23,"UX37EL6728"
3,000000000000112,"Gabriela Ortiz",1061,2,00000000000024444,853428.10,"ANHZO65903"
4,000000000016258,"Pedro Herrera",1058,1,00000000000007892,516092.30,"9L9PYH1443"
1,000000000004116,"Sofia Morales",1063,1,00000000000000363,246024.68,"MSV0D46963"
4,000000000010951,"Ana Martinez",1062,1,00000000000025073,580273.90,"VRBO6F7890"
1,000000000029924,"Juan Perez",1063,1,00000000000031458,350998.47,"Q2BPDQ1953"
2,000000000015000,"Maria Lopez",1059,1,00000000000031115,781671.69,"XA536S4669"
2,000000000009115,"Pedro Herrera",1058,2,00000000000021527,427712.34,"0BCBSL0027"
1,000000000015668,"Sofia Morales",1061,2,00000000000019775,93379.71,"B08HZC7668"
3,000000000031545,"Luis Ramirez",1059,2,00000000000014115,356808.12,"6LNV3Q0168"
5,000000000016221,"Luis Ramirez",1061,1,00000000000015064,393445.02,"J5GTHD7101"
1,000000000004483,"Gabriela Ortiz",1063,1,00000000000014007,923192.58,"Z0JGS64078"
5,000000000012477,"Ana Martinez",1060,1,00000000000026953,169522.90,"QYVEVU7586"
5,000000000009861,"Sofia Morales",1059,1,00000000000031062,870128.50,"GD93LJ0510"
2,000000000027215,"Carlos Gonzalez",1060,1,00000000000032097,604384.36,"OGJFMP3287"
4,000000000001782,"Carlos Gonzalez",1062,1,00000000000026899,731992.81,"9RKISI4677"
5,000000000013882,"Carlos Gonzalez",1062,1,00000000000004995,692252.44,"J8HG197763"
3,000000000031374,"Pedro Herrera",1059,1,00000000000017408,22011.49,"AVZ7MZ8053"
3,000000000015249,"Gabriela Ortiz",1059,2,00000000000004089,470871.02,"GRISQJ2385"
4,000000000023713,"Juan Perez",1063,2,00000000000024990,241939.29,"JGVJ4H8597"
4,000000000000113,"Pedro Herrera",1059,1,00000000000000046,290042.41,"CCYLPI8894"
4,000000000029635,"Luis Ramirez",1061,2,00000000000022259,847414.79,"KU58C17859"
1,000000000026483,"Gabriela Ortiz",1060,2,00000000000002121,870358.90,"4F7TJ39717"
4,000000000020063,"Luis Ramirez",1061,2,00000000000010412,522137.86,"AETKPB7189"
3,000000000015445,"Juan Perez",1060,1,00000000000030501,559604.98,"ZLT3T68951"
1,000000000031722,"Juan Perez",1059,2,00000000000019026,26517.78,"IFHCD40826"
4,000000000012134,"Carlos Gonzalez",1060,1,00000000000008737,572622.88,"8ZV8C53237"
1,000000000024352,"Luis Ramirez",1060,1,00000000000009085,902292.72,"N99S2J5000"
4,000000000010366,"Sofia Morales",1059,1,00000000000022234,459573.26,"9I05PI9487"
2,000000000005424,"Sofia Morales",1059,1,00000000000004892,398384.76,"0L55RD6363"
4,000000000028875,"Pedro Herrera",1061,1,00000000000009416,569843.96,"4K32ZR7697"
5,000000000017610,"Sofia Morales",1062,2,00000000000007226,536323.05,"Q202MR2248"
1,000000000022481,"Maria Lopez",1062,2,00000000000025521,560426.57,"U3290K3938"
3,000000000026385,"Carlos Gonzalez",1060,1,00000000000009879,785688.91,"F9WSSI3947"
4,000000000006913,"Maria Lopez",1059,2,00000000000018721,897701.37,"8AVZLZ8816"
1,000000000009842,"Sofia Morales",1060,1,00000000000001608,821613.32,"CR1QP30373"
3,000000000011613,"Juan Perez",1063,2,00000000000020102,673138.70,"CQCVCQ3272"
4,000000000011330,"Juan Perez",1062,1,00000000000026411,486843.91,"JDVRN00945"
2,000000000029555,"Ana Martinez",1061,1,00000000000013770,281379.91,"DEVTNM2747"
2,000000000013307,"Pedro Herrera",1059,2,00000000000003544,649080.30,"J5U0AZ9020"
5,000000000015203,"Gabriela Ortiz",1059,1,00000000000027349,959592.19,"2EO0HB0316"
1,000000000030750,"Juan Perez",1063,1,00000000000022976,179356.33,"GH3EMN3980"
3,000000000012315,"Luis Ramirez",1058,2,00000000000018448,372212.16,"EDZYDY1444"
5,000000000013311,"Ana Martinez",1062,1,00000000000020683,191372.25,"KT9JN66080"
1,000000000013726,"Juan Perez",1059,1,00000000000006212,381464.64,"14Z6A84456"
2,000000000019239,"Gabriela Ortiz",1061,2,00000000000022858,273141.42,"CK9HMI4894"
3,000000000024577,"Maria Lopez",1059,2,00000000000023732,861727.71,"NDG5A27897"
2,000000000025310,"Gabriela Ortiz",1060,2,00000000000007418,981163.67,"DET4R30008"
1,000000000002855,"Carlos Gonzalez",1060,2,00000000000005230,979553.52,"U9E6FB2085"
1,000000000019938,"Luis Ramirez",1058,1,00000000000018524,301658.52,"DVQB0W1408"
3,000000000011851,"Sofia Morales",1062,1,00000000000001862,621374.12,"Q3WM0G5297"
3,000000000023211,"Maria Lopez",1062,1,00000000000004911,955749.53,"C4W2477772"
3,000000000011370,"Gabriela Ortiz",1063,1,00000000000013650,794637.08,"VSN6MU0637"
3,000000000028176,"Sofia Morales",1062,1,00000000000002038,562028.68,"E2Y56D0092"
4,000000000015803,"Juan Perez",1062,1,00000000000005100,703821.01,"V1HJMI5876"
4,000000000021828,"Carlos Gonzalez",1059,1,00000000000004185,103916.52,"XM0LUO8809"
4,000000000019253,"Carlos Gonzalez",1059,2,00000000000023425,291700.28,"5LBCT63837"
2,000000000012603,"Sofia Morales",1059,2,00000000000018940,670386.98,"7OK83Y2694"
3,000000000006727,"Gabriela Ortiz",1061,2,00000000000012269,432254.89,"ZHAF6U6191"
5,000000000004957,"Gabriela Ortiz",1063,1,00000000000010420,662290.35,"ZWZBHY1315"
3,000000000016133,"Ana Martinez",1059,1,00000000000000086,531727.92,"1EWASV7053"
2,000000000001298,"Maria Lopez",1061,2,00000000000013632,616255.36,"32QRX20054"
5,000000000007845,"Luis Ramirez",1060,1,00000000000010932,768011.37,"NULTS50435"
3,000000000007369,"Gabriela Ortiz",1063,1,00000000000007736,802544.68,"X090UN2741"
1,000000000006409,"Luis Ramirez",1060,1,00000000000009322,57699.28,"BAQT2W2461"
1,000000000005778,"Sofia Morales",1059,2,00000000000028611,60463.76,"DSYN514861"
3,000000000023739,"Luis Ramirez",1060,2,00000000000009657,471117.61,"UEV9UI9701"
5,000000000000560,"Carlos Gonzalez",1062,1,00000000000021622,192834.31,"6M8N6L4246"
5,000000000003539,"Juan Perez",1062,1,00000000000015171,847202.41,"V423EU1482"
4,000000000030067,"Ana Martinez",1061,2,00000000000010421,604416.88,"GM6J915782"
4,000000000017206,"Maria Lopez",1059,2,00000000000028084,979151.79,"1E7UOF0314"
5,000000000003630,"Juan Perez",1059,1,00000000000011889,954910.26,"6TZ6FH0544"
1,000000000027955,"Pedro Herrera",1058,1,00000000000008358,553685.88,"YGPX062987"
5,000000000018300,"Juan Perez",1059,2,00000000000027857,269077.48,"MC5JA82992"
3,000000000015119,"Sofia Morales",1063,2,00000000000022522,68847.61,"PMNQ1V0004"
2,000000000023155,"Carlos Gonzalez",1059,1,00000000000026936,893409.97,"9SZT2B7412"
5,000000000026485,"Maria Lopez",1059,1,00000000000010882,788075.58,"CJGHV57521"
5,000000000007488,"Carlos Gonzalez",1063,2,00000000000014341,110938.26,"3O666E4976"
3,000000000014011,"Pedro Herrera",1060,1,00000000000007678,4265.87,"4N3WD57178"
2,000000000014763,"Gabriela Ortiz",1059,1,00000000000016848,400309.26,"RJND0W5584"
3,000000000006066,"Pedro Herrera",1060,2,00000000000022386,761139.27,"QHPECU9622"
4,000000000013457,"Carlos Gonzalez",1059,1,00000000000006741,150136.04,"AOPUOX2624"
2,000000000029804,"Sofia Morales",1060,2,00000000000029478,577740.47,"Y32GG54393"
3,000000000011140,"Maria Lopez",1060,1,00000000000009794,751844.77,"KCKCIQ8898"
3,000000000009225,"Gabriela Ortiz",1060,1,00000000000021297,588685.10,"AXC8YH0328"
3,000000000002212,"Pedro Herrera",1062,1,00000000000016818,665369.86,"YQHZU61963"
2,000000000025159,"Maria Lopez",1062,2,00000000000023412,879623.52,"9VX24B8471"
2,000000000002669,"Juan Perez",1063,1,00000000000016122,88760.18,"MJJCTT1849"
1,000000000012028,"Maria Lopez",1062,1,00000000000027918,245574.20,"U0R6DN1452"
1,000000000023453,"Gabriela Ortiz",1061,1,00000000000031303,531682.59,"1X6CP46085"
5,000000000026095,"Luis Ramirez",1062,1,00000000000008052,520893.34,"J6JVB80254"
1,000000000025094,"Sofia Morales",1061,1,00000000000016949,767887.60,"XFSLY12692"
1,000000000021538,"Luis Ramirez",1059,1,00000000000019222,744977.20,"M58KXZ2141"
5,000000000026690,"Luis Ramirez",1061,2,00000000000017930,490212.56,"T72BM93385"
2,000000000007395,"Maria Lopez",1060,1,00000000000005386,945333.32,"S7ZZ311366"
2,000000000001464,"Luis Ramirez",1062,1,00000000000018840,319035.00,"I69XRN2038"
1,000000000006157,"Ana Martinez",1060,1,00000000000008783,629309.95,"YG5NQL8147"
3,000000000021930,"Maria Lopez",1061,2,00000000000019992,190082.62,"2H7QKV7155"
1,000000000018357,"Ana Martinez",1063,2,00000000000026091,170585.17,"W6CARO6628"
2,000000000009851,"Maria Lopez",1058,2,00000000000005224,958726.14,"GNL9NP1278"
4,000000000027703,"Gabriela Ortiz",1060,2,00000000000020151,631364.51,"S5L4SX3973"
1,000000000020676,"Carlos Gonzalez",1058,1,00000000000000741,111565.16,"WXVPAJ2227"
1,000000000023852,"Juan Perez",1060,2,00000000000026347,190409.41,"CMQKZQ2382"
1,000000000013858,"Pedro Herrera",1062,2,00000000000029228,306506.87,"2EIORY7804"
1,000000000006673,"Carlos Gonzalez",1063,2,00000000000011486,436067.51,"0YMIIJ0560"
2,000000000028643,"Carlos Gonzalez",1063,2,00000000000024836,734133.19,"S9PXG18565"
1,000000000016399,"Pedro Herrera",1062,2,00000000000017937,903473.64,"V8WKBN1314"
3,000000000023468,"Luis Ramirez",1059,2,00000000000006364,274878.37,"60QEPZ6073"
1,000000000015727,"Gabriela Ortiz",1062,1,00000000000013066,216624.32,"C4PUYH2294"
3,000000000018749,"Pedro Herrera",1059,2,00000000000007990,224589.74,"S0DR2K1843"
2,000000000024306,"Maria Lopez",1063,2,00000000000029842,460064.97,"WX6DGP2528"
1,000000000001620,"Gabriela Ortiz",1062,1,00000000000024533,725629.26,"M90AG64527"
1,000000000012333,"Juan Perez",1060,1,00000000000018284,218256.43,"466G427122"
5,000000000005848,"Juan Perez",1059,2,00000000000023146,246606.38,"P4CL4Y2407"
3,000000000026588,"Luis Ramirez",1059,2,00000000000026227,594986.06,"RWSWPI4357"
5,000000000027906,"Carlos Gonzalez",1059,1,00000000000001111,417648.22,"JTAPD78996"
3,000000000030968,"Pedro Herrera",1061,2,00000000000004378,306029.96,"D7O1JI7187"
1,000000000013598,"Juan Perez",1063,2,00000000000008832,758264.78,"PN8B9R2658"
4,000000000019542,"Gabriela Ortiz",1058,2,00000000000013821,12843.98,"B9N9BA5280"
1,000000000023767,"Ana Martinez",1061,2,00000000000023631,8625.49,"P13NDB0158"
1,000000000023588,"Sofia Morales",1061,1,00000000000016009,858775.35,"0E2N4K0263"
1,000000000006957,"Pedro Herrera",1059,2,00000000000020346,103613.01,"Y7564L9578"
3,000000000022421,"Gabriela Ortiz",1062,1,00000000000020184,693205.79,"LLDOHN8329"
2,000000000018323,"Sofia Morales",1060,1,00000000000021200,640077.55,"H0FYXS9460"
5,000000000032437,"Maria Lopez",1062,2,00000000000032485,653891.63,"D8K7JS0172"
3,000000000005519,"Ana Martinez",1059,1,00000000000021339,509259.37,"YR3VQF1566"
1,000000000026822,"Luis Ramirez",1060,2,00000000000003152,298506.71,"XD58KF9763"
3,000000000019848,"Ana Martinez",1058,1,00000000000009826,866462.36,"Z142C66809"
4,000000000019671,"Gabriela Ortiz",1061,1,00000000000025075,32922.06,"K9S9DS3145"
2,000000000011752,"Carlos Gonzalez",1058,1,00000000000002794,958796.08,"C2UNF26276"
4,000000000006893,"Juan Perez",1058,1,00000000000032673,668156.35,"AAFWB70271"
5,000000000004306,"Luis Ramirez",1058,1,00000000000023411,18294.10,"9GAVXB1975"
3,000000000022289,"Pedro Herrera",1063,2,00000000000001940,234517.07,"1MP2QF1760"
4,000000000003385,"Juan Perez",1062,2,00000000000005347,528905.01,"ALK2CR1254"
2,000000000015654,"Maria Lopez",1061,2,00000000000019825,977941.46,"MEKNTN8189"
3,000000000011343,"Pedro Herrera",1058,2,00000000000005409,176829.86,"W9E6CV8685"
1,000000000006670,"Carlos Gonzalez",1062,2,00000000000015562,270557.62,"64F99S9192"
2,000000000014853,"Gabriela Ortiz",1058,1,00000000000027757,7654.26,"17QMU95821"
1,000000000018799,"Luis Ramirez",1060,2,00000000000030767,645273.16,"A4POXV0214"
5,000000000005791,"Carlos Gonzalez",1058,2,00000000000027596,151450.58,"9GC45S4186"
5,000000000002368,"Maria Lopez",1061,2,00000000000026599,218035.39,"5C76YV3497"
3,000000000011650,"Pedro Herrera",1062,2,00000000000024627,543191.86,"ZC95114965"
5,000000000002214,"Sofia Morales",1061,2,00000000000000385,945013.68,"TKAGGT3629"
2,000000000003756,"Sofia Morales",1063,2,00000000000003903,715540.52,"5F3OMN1033"
4,000000000031031,"Ana Martinez",1061,2,00000000000006867,160395.01,"CQ22VE1077"
4,000000000020410,"Carlos Gonzalez",1059,2,00000000000011728,514249.12,"AAZ1W92455"
2,000000000002314,"Ana Martinez",1062,1,00000000000024053,834333.50,"2A3FCI3656"
2,000000000001489,"Gabriela Ortiz",1063,2,00000000000008387,755741.71,"P3PB5Y4202"
1,000000000006185,"Maria Lopez",1059,1,00000000000004557,423959.51,"WPIO4Z2276"
2,000000000000756,"Maria Lopez",1060,1,00000000000027693,85693.84,"0HWFKN0695"
3,000000000001157,"Gabriela Ortiz",1059,1,00000000000003127,178382.26,"ZGZ95Y7441"
5,000000000013822,"Luis Ramirez",1063,2,00000000000010172,922743.17,"GRL4BO0726"
1,000000000019745,"Maria Lopez",1063,1,00000000000001460,465950.94,"CRGHWL5554"
1,000000000029868,"Ana Martinez",1059,2,00000000000005911,856541.62,"795JF55763"
1,000000000012488,"Gabriela Ortiz",1058,2,00000000000003358,825912.17,"L1U4C76377"
2,000000000026992,"Ana Martinez",1061,1,00000000000003291,981011.56,"LETURC6997"
3,000000000001274,"Luis Ramirez",1058,2,00000000000001893,396211.44,"42D6O96872"
5,000000000018710,"Juan Perez",1060,2,00000000000030080,848935.66,"NP1YJI6274"
3,000000000028628,"Maria Lopez",1058,1,00000000000026251,923001.92,"MODIUX9022"
1,000000000011202,"Carlos Gonzalez",1059,1,00000000000021761,408814.77,"XX8T885567"
3,000000000023766,"Juan Perez",1058,1,00000000000022796,477126.04,"0ZB2X52304"
5,000000000020077,"Gabriela Ortiz",1060,2,00000000000003791,311507.27,"S3PDX52803"
1,000000000002438,"Carlos Gonzalez",1061,2,00000000000018546,219029.12,"WB7ONH2276"
2,000000000028027,"Pedro Herrera",1062,2,00000000000010497,644670.00,"6ZL8257250"
2,000000000011812,"Pedro Herrera",1058,1,00000000000002444,54476.45,"07K4HL8245"
2,000000000024593,"Luis Ramirez",1060,1,00000000000032239,311044.00,"3KBSFJ0413"
3,000000000032658,"Carlos Gonzalez",1063,2,00000000000024431,358157.84,"2CJXLS5428"
4,000000000002758,"Maria Lopez",1058,1,00000000000010832,42195.59,"YCWNK75524"
5,000000000028302,"Luis Ramirez",1063,2,00000000000005764,631984.06,"D0KEGB9591"
1,000000000026450,"Juan Perez",1062,1,00000000000008899,95868.39,"1VP3FY6856"
1,000000000020241,"Gabriela Ortiz",1063,1,00000000000029830,288678.20,"Q6SPLN7249"
3,000000000032222,"Juan Perez",1062,2,00000000000026873,634134.68,"CP0K5H4740"
1,000000000004034,"Pedro Herrera",1062,1,00000000000024963,897501.65,"9YJ5Q66333"
1,000000000004673,"Pedro Herrera",1062,1,00000000000012699,150508.76,"CV07YA3338"
1,000000000027721,"Gabriela Ortiz",1061,2,00000000000021242,102659.29,"XFBJVM2717"
1,000000000017030,"Luis Ramirez",1058,2,00000000000021280,952568.19,"OOGHLX0744"
3,000000000005990,"Luis Ramirez",1062,1,00000000000019100,819340.67,"NYFYEX5553"
4,000000000007307,"Luis Ramirez",1063,2,00000000000005927,738776.50,"RTOI483357"
2,000000000011083,"Juan Perez",1061,1,00000000000023469,483446.09,"KPVNDX6347"
4,000000000022624,"Carlos Gonzalez",1059,2,00000000000026017,155641.60,"09CV009118"
5,000000000012786,"Luis Ramirez",1060,1,00000000000012497,362680.06,"8RC31A2050"
5,000000000020658,"Luis Ramirez",1062,2,00000000000006888,790355.70,"AAI4V04628"
3,000000000017626,"Gabriela Ortiz",1063,2,00000000000000756,298667.17,"GMPH868492"
2,000000000031252,"Ana Martinez",1060,1,00000000000011638,684118.01,"52B7FD1241"
1,000000000021552,"Ana Martinez",1063,1,00000000000014096,29426.74,"SV2TSC1678"
1,000000000015476,"Sofia Morales",1060,1,00000000000015366,683160.22,"LLBUVA9697"
3,000000000004191,"Luis Ramirez",1058,1,00000000000029380,258177.92,"KTPKD05714"
4,000000000020096,"Pedro Herrera",1060,2,00000000000032164,363119.99,"29G0ZY0369"
1,000000000019896,"Carlos Gonzalez",1062,1,00000000000010711,180382.12,"S9GNS26475"
2,000000000027837,"Ana Martinez",1063,1,00000000000020744,12612.40,"FVUIIE6604"
3,000000000006675,"Pedro Herrera",1061,1,00000000000001720,949264.87,"F7OCUS7028"
4,000000000030641,"Pedro Herrera",1062,2,00000000000000187,327987.30,"KDHD215041"
3,000000000027983,"Carlos Gonzalez",1060,2,00000000000022351,772716.15,"URN57U8528"
2,000000000027633,"Sofia Morales",1062,1,00000000000021264,789379.89,"Y1OV0E7600"
5,000000000021024,"Gabriela Ortiz",1059,1,00000000000023912,670080.86,"KYGV8R4881"
2,000000000000903,"Ana Martinez",1059,1,00000000000023185,428631.98,"YPZ5QG5383"
5,000000000025011,"Ana Martinez",1059,1,00000000000002564,326361.79,"0D51Y40725"
1,000000000025189,"Pedro Herrera",1059,2,00000000000019357,752727.89,"YCQ2SD0424"
2,000000000007513,"Juan Perez",1063,1,00000000000010381,10951.98,"RMVL8O9925"
5,000000000022072,"Gabriela Ortiz",1060,2,00000000000029352,7328.26,"YSBQ881943"
3,000000000015108,"Juan Perez",1062,2,00000000000022089,150307.67,"AQPK7L5613"
1,000000000004920,"Gabriela Ortiz",1061,2,00000000000008023,670135.74,"KXIPPK2442"
2,000000000027009,"Sofia Morales",1060,2,00000000000002050,188978.09,"KTWMMD0256"
3,000000000000278,"Juan Perez",1063,1,00000000000009158,197364.13,"3ETYF47818"
5,000000000016855,"Pedro Herrera",1062,1,00000000000017148,565475.18,"M9P82W7159"
5,000000000014494,"Juan Perez",1059,1,00000000000026295,594993.26,"45TXYJ3859"
4,000000000000022,"Maria Lopez",1059,2,00000000000031075,435732.70,"EB9MUD5114"
3,000000000002539,"Luis Ramirez",1058,1,00000000000020266,956921.49,"CVFZOB5992"
3,000000000015874,"Ana Martinez",1062,2,00000000000025846,648122.42,"F22T4C9757"
4,000000000019482,"Carlos Gonzalez",1061,2,00000000000000857,332212.32,"J7WRWZ3581"
5,000000000003399,"Luis Ramirez",1060,2,00000000000006651,111525.27,"015DI47660"
4,000000000015393,"Maria Lopez",1063,2,00000000000018127,931462.91,"SV6HEH3790"
2,000000000015038,"Sofia Morales",1060,2,00000000000013844,596371.83,"2QHF4J4112"
3,000000000031772,"Maria Lopez",1062,1,00000000000032695,727334.17,"T93CDM8458"
5,000000000025767,"Sofia Morales",1061,2,00000000000025667,434483.43,"8F8V6U8100"
5,000000000008504,"Maria Lopez",1062,1,00000000000011921,990073.01,"0NESTI5304"
2,000000000022463,"Luis Ramirez",1062,2,00000000000019967,76313.75,"J9QL4D1071"
2,000000000010972,"Maria Lopez",1061,2,00000000000020709,988712.19,"YDMA1O3676"
2,000000000029086,"Sofia Morales",1059,2,00000000000022573,903692.91,"Y3LR7H2105"
5,000000000031257,"Pedro Herrera",1061,2,00000000000024109,41789.55,"XVP9127596"
5,000000000017906,"Sofia Morales",1059,1,00000000000026453,535887.52,"0YL3979920"
2,000000000015251,"Luis Ramirez",1063,1,00000000000027231,386150.29,"J4SXU90948"
2,000000000017624,"Gabriela Ortiz",1058,1,00000000000024318,802360.63,"BVP7707640"
5,000000000028364,"Juan Perez",1061,1,00000000000004468,373866.24,"P8Z7CB1353"
1,000000000007369,"Carlos Gonzalez",1060,1,00000000000029329,153674.44,"TAZ8A80923"
1,000000000010928,"Ana Martinez",1062,1,00000000000002940,547366.02,"IUVZST8168"
3,000000000026393,"Juan Perez",1058,2,00000000000024401,751979.75,"F4KSUE3650"
5,000000000015124,"Pedro Herrera",1059,1,00000000000008029,958259.01,"1R0VT30574"
3,000000000012101,"Luis Ramirez",1062,2,00000000000006868,648134.93,"GJYYXF2127"
4,000000000016086,"Sofia Morales",1061,2,00000000000007488,134121.67,"D0YPJW8145"
4,000000000027332,"Sofia Morales",1062,1,00000000000003236,512459.41,"BL82BV4482"
1,000000000020131,"Maria Lopez",1058,1,00000000000001540,273344.94,"34QXTV1447"
1,000000000031715,"Sofia Morales",1061,2,00000000000019265,378836.92,"YR02ZO1632"
2,000000000000422,"Sofia Morales",1058,2,00000000000020493,936594.40,"WE2XYZ6901"
1,000000000003610,"Ana Martinez",1063,2,00000000000017868,111610.48,"KVEMGT5141"
1,000000000023481,"Pedro Herrera",1060,1,00000000000013797,15751.65,"OO00TK2063"
5,000000000004124,"Juan Perez",1062,2,00000000000027075,971385.66,"E3BD4H0540"
2,000000000020023,"Luis Ramirez",1058,2,00000000000021778,450757.06,"6IPWSQ4560"
2,000000000010829,"Juan Perez",1062,1,00000000000011630,191919.46,"M5G0LK8187"
5,000000000014266,"Pedro Herrera",1063,1,00000000000000153,326120.64,"K2S8GT1754"
4,000000000028413,"Maria Lopez",1058,1,00000000000001400,576091.63,"KXF7NQ0719"
2,000000000020616,"Carlos Gonzalez",1058,2,00000000000030957,715320.29,"0WYJRD3565"
2,000000000012865,"Pedro Herrera",1058,1,00000000000032670,322039.53,"4QA8NT4228"
2,000000000005160,"Juan Perez",1059,2,00000000000007265,621567.53,"4EI0WH4474"
4,000000000014794,"Juan Perez",1062,2,00000000000016702,676762.71,"CFKFPN2352"
5,000000000002991,"Carlos Gonzalez",1058,1,00000000000031967,535773.86,"PROG0N7557"
4,000000000000985,"Luis Ramirez",1061,2,00000000000031753,937659.80,"KW5AIP2992"
4,000000000028169,"Carlos Gonzalez",1063,1,00000000000026413,586259.52,"OAOH613953"
5,000000000019805,"Carlos Gonzalez",1061,1,00000000000012757,371071.88,"W4LKR30326"
5,000000000017206,"Juan Perez",1060,2,00000000000010156,659609.04,"NKUEEY8643"
4,000000000012110,"Carlos Gonzalez",1063,2,00000000000020386,243525.81,"12CGBU8928"
3,000000000007824,"Carlos Gonzalez",1061,1,00000000000018895,53592.19,"KWR5PM5960"
3,000000000020207,"Pedro Herrera",1063,2,00000000000015803,403965.21,"R8NUX78899"
5,000000000002377,"Luis Ramirez",1061,1,00000000000009651,367703.43,"TFAHZQ3005"
2,000000000018326,"Gabriela Ortiz",1062,2,00000000000003165,175668.96,"DC4L7B8645"
3,000000000021295,"Pedro Herrera",1063,2,00000000000020593,484936.15,"QIGBO18531"
1,000000000029680,"Carlos Gonzalez",1058,1,00000000000002880,683697.48,"RC1V9W5019"
2,000000000032058,"Juan Perez",1061,1,00000000000024605,948196.27,"G2P26W8802"
5,000000000032065,"Carlos Gonzalez",1062,1,00000000000008156,144074.39,"YA3SXV9840"
4,000000000029338,"Luis Ramirez",1060,2,00000000000031856,813899.73,"5MD6R99633"
1,000000000009487,"Pedro Herrera",1060,2,00000000000031663,832009.16,"UOBYEY8994"
2,000000000011501,"Pedro Herrera",1062,2,00000000000010853,752715.50,"PABG438674"
2,000000000026627,"Carlos Gonzalez",1059,1,00000000000001136,718597.14,"TP8YBP0428"
4,000000000011930,"Gabriela Ortiz",1058,2,00000000000021213,889630.11,"4P3FC05247"
2,000000000022125,"Ana Martinez",1059,1,00000000000003136,996849.79,"L4TVQ32306"
1,000000000017576,"Ana Martinez",1063,1,00000000000028465,155445.24,"QPG8E16660"
